triggerDesc,percentage,triggerType
"this trigger fires when the ema/metrosafe city agency in louisville, ky sends an emergency notification to the surrounding area.",0.01,motion
this trigger fires when the energy saving mode scene is activated,0.01,device_state
this trigger fires when the filtrete™ outdoor air quality scale level changes; for example: from good to fair.,0.01,weather
this trigger fires when the filtrete™ outdoor air quality value becomes higher (i.e. worse) than a chosen value.,0.01,weather
this trigger fires when the garage door starts to open.,0.02,device_state
this trigger fires when the gate start opening,0.01,other
this trigger fires when the goal is close to derailing. it will begin firing according to the goal's reminder settings.,0.01,other
this trigger fires when the home security device enters away mode.,0.01,external_service
this trigger fires when the hub is in a specific state.,0.01,other
this trigger fires when the humidity of a device rises above the provided threshold.,0.01,weather
this trigger fires when the number of your smartphone screen unlocks exceeds your specified daily limit.,0.01,other
this trigger fires when the outdoor temperature rises above a given value.,0.01,weather
this trigger fires when the price of electricity changes.,0.03,pricing
this trigger fires when the radon level for a device rises above the provided threshold.,0.02,other
this trigger fires when the remaining life of any of your filtrete smart air filter drops below your chosen percentage.,0.01,weather
this trigger fires when the room temperature falls below a user-defined threshold.,0.01,weather
this trigger fires when the room temperature rises above a user-defined value.,0.01,weather
this trigger fires when the scene in a room is changed.,0.04,other
this trigger fires when the scene is changed to the selected scene.,12.3,device_state
this trigger fires when the selected swann security device detects  motion.,0.01,external_service
this trigger fires when the smart alert detects that a smoke or carbon monoxide alarm has gone off in your home.,0.01,weather
this trigger fires when the smarter coffee 2.0 has finished brewing.,0.02,other
this trigger fires when the smarter ikettle 3.0 has finished boiling.,0.02,other
"this trigger fires when the specified camera detects motion. to use this trigger, camera’s motion detection should be turned on.",0.01,motion
this trigger fires when the specified device is set to cool mode,0.01,device_state
this trigger fires when the specified device is set to eco mode,0.01,device_state
this trigger fires when the specified device is set to heat mode,0.01,device_state
this trigger fires when the specified device is turned off,0.01,device_state
this trigger fires when the specified product turns off.,0.01,device_state
this trigger fires when the specified product turns on.,0.01,device_state
this trigger fires when the state of selected door sensor is open or closed.,0.01,device_state
this trigger fires when the system detects a water leak.,0.01,other
this trigger fires when the uv index rises above a given value.,0.02,other
this trigger fires when there is a new dart rider alert.,0.01,other
this trigger fires when there is a new membership for your channel.,0.36,other
this trigger fires when there is a new super chat message in a live chat during a live stream on your channel.,0.34,device_state
this trigger fires when there is a new super sticker in a live chat during a live stream on your channel.,0.07,device_state
this trigger fires when there is a new user voicemail.,0.01,other
this trigger fires when time-of-day peak rates start or end.,0.02,schedule
this trigger fires when we receive your phone call. enter a 3-digit code to distinguish events. dial-in numbers at https://woop.la/ifttt,0.01,external_service
"this trigger fires when you are scheduled to be away and nobody is in the house.  
note: smartgeo™ needs to be active",0.01,other
"this trigger fires when you are scheduled to be home and somebody is at home.  
note: smartgeo™ needs to be active",0.01,other
"this trigger fires when you are scheduled to be in sleep mode and somebody is at home.
note: smartgeo™ needs to be active",0.01,device_state
this trigger fires when you enter a room.,0.01,motion
this trigger fires when you leave a room.,0.01,other
this trigger fires when you press a given button on your triby io.,0.01,manual_interaction
this trigger fires when you say “ok google” to the google assistant followed by a phrase like “block time for ‘exercise’ at 6 pm.” **use the # symbol to specify where you'll say the number ingredient and $ where you'll say the text ingredient,0.01,audio
this trigger fires when you say “ok google” to the google assistant followed by a phrase like “post a tweet saying ‘new high score.’” **use the $ symbol to specify where you'll say the text ingredient,0.2,audio
this trigger fires when you say “ok google” to the google assistant followed by a phrase like “set nest thermostat to 68.” **use the # symbol to specify where you'll say the number ingredient,0.03,audio
"this trigger fires when you say “ok google” to the google assistant followed by a phrase you choose. for example, say “ok google, i’m running late” to text a family member that you’re on your way home.",3.05,audio
this trigger fires when you send a text message with a key phrase to the @ifttt bot on telegram.,0.02,external_service
this trigger fires when you send an ifttt-command from your xtactor wristband.,0.01,external_service
this trigger fires when you tap the 'night mode' or 'day mode' buttons in the eight app.,0.02,device_state
this trigger fires when you turn on the alarm in the livy app.,0.01,external_service
this trigger fires when you were killed in rust while you were not playing the game.,0.02,other
"this trigger fires when your abode system mode is changed (away, home, standby).",0.01,device_state
this trigger fires when your air quality goes above or below the target level.,0.01,weather
this trigger fires when your arlo device detects motion.,0.43,motion
this trigger fires when your blink camera detects motion.,0.08,motion
this trigger fires when your device detects the humidity is above the threshold you specified.,0.01,weather
this trigger fires when your device detects the temperature is above the threshold you specified.,0.01,weather
this trigger fires when your device detects the temperature is below the threshold you specified.,0.01,weather
this trigger fires when your ewelink support 1-channel switch is turned on or off.,0.02,device_state
this trigger fires when your livy protect device reports a fire or motion alarm.,0.01,external_service
this trigger fires when your local room temperature exceeds a given threshold.,0.01,weather
this trigger fires when your mui board turned off night mode.,0.01,device_state
this trigger fires when your mui board turned on night mode.,0.01,device_state
this trigger fires when your order is being prepped.,0.01,other
this trigger fires when your order is being quality-checked.,0.01,other
this trigger fires when your order is in the oven.,0.02,other
this trigger fires when your order is out for delivery.,0.07,other
this trigger fires when your order is ready for pickup.,0.02,other
this trigger fires when your robot completes a job.,0.01,other
this trigger fires when your robot finishes cleaning a room.,0.03,other
this trigger fires when your robot starts a job.,0.01,device_state
this trigger fires when your robot starts cleaning a room.,0.03,device_state
this trigger fires when your smanos system is armed to away mode with no one in the house.,0.02,device_state
this trigger fires when your smart bed alarm clock  is activated,0.01,external_service
this trigger fires when your smart bed alarm clock is activated,0.01,external_service
this trigger fires when your water heater exceeds its energy use threshold.,0.01,other
this trigger fires whenever a motion sensor detects movement nearby.,0.01,motion
this trigger fires whenever someone posts a new message in the selected room.,0.01,other
"this trigger fires whenever the carbon intensity changes for the comed service territory, use this trigger to help lower your carbon footprint by reducing your energy during high carbon times",0.02,weather
this trigger fires whenever there is a new blog post in a specific aclu feed that contains a specified search term.,0.01,external_service
this trigger fires whenever there is breaking news from the aclu.,0.01,external_service
this trigger fires whenever you press the selected button on your wink relay.,0.02,manual_interaction
"this trigger fires whenever you spend money at a particular merchant, and the transaction goes through.",0.01,other
this trigger fires within 15 minutes of the ending time of an event on your google calendar.,0.01,external_service
this trigger fires within 15 minutes of the sunrise in your location.,1.08,schedule
this trigger fires within 15 minutes of the sunset in your location.,2.91,schedule
this trigger is fired from the assigned pusher on your festina watch.,0.02,external_service
this trigger is fired from the assigned pusher on your jaguar watch.,0.02,external_service
this trigger is fired from the assigned pusher on your kronaby watch.,0.03,external_service
this trigger is fired from the assigned pusher on your lotus watch.,0.02,external_service
this trigger is fired when a low battery is detected on the selected swann wireless security device.,0.01,external_service
this trigger is fired when an enrolled or selected face is detected by the swann security device.,0.01,external_service
"this trigger monitors changes in the current weather condition. when one of those conditions is met the trigger fires. currently only these simple conditions are supported: rain, snow, cloudy, clear. ",1.08,weather
this trigger monitors changes in tomorrow’s forecasted weather condition.,0.11,weather
this trigger monitors changes in your thermostat's heating mode and fires if it is set to a certain mode.,0.01,device_state
this trigger monitors changes in your thermostat's measured temperature and fires if it exceeds a certain threshold.,0.02,weather
this trigger monitors changes in your thermostat's set temperature and fires if it exceeds a certain threshold.,0.02,weather
this trigger monitors changes in your thermostat's set temperature and fires whenever it changes.,0.01,weather
this trigger monitors the ubibot device's built-in light sensor readings and fires whenever the light level rises above or drops below the value in lux you provide. ,0.03,other
this trigger monitors your local pollen levels and fires every time the pollen count rises above the value you specify (1-12). note: available only in the usa.,0.03,schedule
this trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,0.15,weather
this trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,0.1,weather
this trigger monitors your local uv levels and fires every time the uv index rises above the value you specify (0-16).,0.02,schedule
this trigger recommends a new applet every day at the time you specify.,0.01,schedule
this trigger retrieves today's current weather report within 5 minutes of the time you specify. note: pollen count available only in the usa.,0.34,weather
"this trigger retrieves tomorrow's weather report within 5 minutes of the time you specify, depending on when forecast data is updated.",0.03,weather
this triggers fires every time the child lock has deactivated.,0.01,schedule
trigger an applet when the door is locked,0.02,device_state
trigger an applet when the door is unlocked,0.03,device_state
use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,0.01,pricing
"you can create tags and give them to your flics, so multiple flics can be used with a single recipe.",0.03,other
