id,triggerDesc,deviceCategory
RNpMUQr4,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
RNxek9B3,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
RR3ifKVy,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
RW3eY74d,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
RXM2WwFb,This trigger will only start when a specific value of a specific sensor of your Aura Air device is reached,Light
RbgXDxvY,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
Rc2JFhwt,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
RmuQ4M9d,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
Rq8WtN6r,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Generic/Other
RqaXxuBh,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
RvZpbEaY,Indicates whether the carbon is clean or dirty,Light
S6gUXyD4,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
S7PC4KkZ,This trigger is fired from the assigned pusher on your Festina watch.,Generic/Other
SJt4PVwD,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
SQYSAcNR,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
SQsh5zqM,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
STmfBG56,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
SZYzHqev,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
SjKcMS32,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
SvGByEU8,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
T6Vd8hNZ,"Whenever a preset temperature and/or humidity change detected, SwitchBot Thermometer & Hygrometer (the Meter) will try to trigger the service. E.g. if the temperature is too high, turn on AC with the SwitchBot Hub Plus (the Hub Plus).",Generic/Other
T9EBYZhA,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
TEs6diVF,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
TFzGVewY,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
TLTZBHUp,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
TNW7r3dP,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
TPdTrRce,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
TbMRjtqa,This trigger will only start when a specific value of a specific sensor of your Aura Air device is reached,Thermostat/Heating
TfPHX2Ze,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
TfweH5LM,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
Thby5cJ9,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
TtkhZmTv,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
TtuQhJrc,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
Tw8ynkTM,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Thermostat/Heating
TxWCPqk4,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
U3XukMFr,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
U9ZsFe7y,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
UDhYkvEZ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
UEBjMnzu,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
UJGChemb,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
UMCUhJvR,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
UNy5xBqu,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Air/Climate
UZ73EhQW,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
UaL2CS8v,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
UaQznmJ5,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
UcMbetQB,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
UfQBp5mh,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
UfvV8GnX,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
UqzRiwT9,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
Us2jKFET,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
UsMB7qND,"You can create tags and give them to your Flics, so multiple Flics can be used with a single Recipe.",Light
UsQ2PaWN,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
Uy9SQ6tK,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
VEeQgqbr,This trigger monitors the UbiBot device's external DS18B20 temperature probe 1's readings and fires whenever the temperature rises above or drops below the value you provide (Available for WS1 and WS1-PRO devices).  ,Generic/Other
VGVMz7qc,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
Vg8nfcT6,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
VqHFBjVT,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Generic/Other
VsEQWGix,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
VsrmUcgQ,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
Vu5fcQvT,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
VuNH9rcT,This Triggers fire every time your room enters manual mode.,Air/Climate
VxNpikbv,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
VziqQ3yG,when the smart button of the lawnmower has pressed once,Generic/Other
W4NfiCAB,This Trigger monitors your local UV levels and fires every time the UV index rises above the value you specify (0-16).,Light
W6xSiPNt,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
WA7ei8RX,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
WAicxwrS,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
WCFPh8GN,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
WEJY2fkP,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
WG4hUqBj,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
WLxhsDmS,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
WNukqvVm,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
WRMHdtLm,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
WSs5RbrE,Trigger an Applet when the door is unlocked,Light
WZUhHQ8a,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
Whc4RW2x,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
WnD3eJHB,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
WyEcB6nX,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
X2ieHyUu,,Light
X4uTi6FE,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
X73wujMp,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
XBVYiZkm,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
XKVHESJU,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
XLuHZj7t,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
XPJcCuL4,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
XdS8RwqG,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
Xeci4y8S,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Thermostat/Heating
XvcLfESR,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,Generic/Other
XwFzTAjU,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
Y67JLAe8,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
Y9s2qdXM,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
YBGMiJAt,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
YEg89smU,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
YJuLrsaS,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
YQpF5Yfg,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Air/Climate
YQwcnDrp,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
YS63YpVz,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
YTu9QDiR,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
YiMrKF3d,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Generic/Other
YsGPKhfV,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
Z6ti8SuA,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
ZAdvrM26,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
ZMdUGm5L,"Whenever a preset temperature and/or humidity change detected, SwitchBot Thermometer & Hygrometer (the Meter) will try to trigger the service. E.g. if the temperature is too high, turn on AC with the SwitchBot Hub Plus (the Hub Plus).",Generic/Other
ZNBrWQjm,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
ZX8mBuDd,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
ZZhbMqW7,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
ZizrEBXL,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
ZmHhW3ng,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
ZnfTsUNj,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
Zp3yvZWC,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
ZvCzxQmc,"The Trigger fires every time a new story is published on NPR in the selected category, program, or topic.",Thermostat/Heating
ZzRK2Ltv,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
a2ihvQtP,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
a4Zqpw2z,This Trigger monitors your local pollen levels and fires every time the pollen count rises above the value you specify (1-12). NOTE: Available only in the USA.,Light
aBAFumnJ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
aFS8pCix,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
aHkx45VU,This trigger is fired when a low battery is detected on the selected Swann wireless security device.,Light
aKxPM4Xv,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
aP6AfwSG,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
aPRjn8Wy,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
aY2ZaNj8,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
aYRpJPcq,Child has had money removed,Light
adDEJG9g,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
ai8CUQB6,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
ajFgtmwV,This trigger monitors the UbiBot device's built-in humidity sensor readings and fires whenever the humidity rises above or drops below the value you provide. ,Generic/Other
aqu2AST8,Child has had money added,Light
arKHDXhv,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
asBH3qpS,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Light
av7iYDTs,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
b8Ypta5B,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
b96GRrjF,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Thermostat/Heating
bJ52Y46H,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
bKTF63ps,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Thermostat/Heating
bLWuG26p,This trigger is fired from the assigned pusher on your Kronaby watch.,Generic/Other
bTreX3k6,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Light
bdFpVkgc,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
biwT7dL4,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
c2TymUX3,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
c6zjBbsT,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
cEjPWwfm,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
cHXAb67k,Indicates whether the carbon is clean or dirty,Generic/Other
cHzkaVZ8,,Light
cMh7gjmQ,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
cNT9sWzM,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
cT6dZGeN,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
caumh47g,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
cbE8zwGY,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
chPEFk3d,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
cq3MptTr,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
czPd7nHR,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
czpKc8FR,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
dHmN6ubs,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
dLqFB2EU,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
dLqeYc3k,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
dPTvW9Hg,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
dSv7mk2w,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
dT8Dfuv9,This trigger is fired from the assigned pusher on your Jaguar watch.,Light
dkfQHKuM,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
dm9HhXrt,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
dyXcbiPJ,This trigger monitors the UbiBot device's built-in light sensor readings and fires whenever the light level rises above or drops below the value in lux you provide. ,Light
dyrX3Vid,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
e2LR3Yn5,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
e2SZV6EY,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
e4f8t3pb,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
e9gYSEaD,This Trigger monitors changes in your thermostat's set temperature and fires if it exceeds a certain threshold.,Light
e9vHVnXb,The trigger fires when the Swann Video Doorbell button is pressed.,Light
eATXy3Vj,"This Trigger retrieves tomorrow's weather report within 5 minutes of the time you specify, depending on when forecast data is updated.",Light
eVp5YWxH,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
eniK2YDe,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Light
etu5dbrs,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
evDpy8mT,This trigger is fired from the assigned pusher on your Lotus watch.,Light
evXdBy2N,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Light
f3FqmJaf,The trigger fires when there is a breaking news alert.,Light
f8Txa9cu,Indicates whether the carbon is clean or dirty,Light
fARgWGvy,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
fBC4jwDv,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
fF2HqCZe,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
fQHhP2dS,This Trigger retrieves today's current weather report within 5 minutes of the time you specify. NOTE: Pollen count available only in the USA.,Light
fSX3Kfbp,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
fVdzmR2C,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
fckFEZSR,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
ffhR4veM,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
fkNKxTvp,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
fmcW6DjQ,This trigger is fired from the assigned pusher on your Kronaby watch.,Light
frfcKHDs,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
fsVCWTtL,This trigger monitors the UbiBot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,Generic/Other
ftYbkMG6,This trigger is fired from the assigned pusher on your Jaguar watch.,Generic/Other
g6eKtmL9,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
g9tEmzxy,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Generic/Other
gCzxtgmS,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
gD8Va7uG,This trigger is fired from the assigned pusher on your Lotus watch.,Generic/Other
gHxkTAED,This Trigger monitors changes in tomorrow’s forecasted weather condition.,Light
gLUBaV2q,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
gPqNexKm,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
gWXMHwzr,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
gYmNRyGw,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
ghwYyxaz,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,Thermostat/Heating
gnXYdbGq,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Thermostat/Heating
gsqHax4d,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
gysf5Vah,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
h3ZzQxPb,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Light
h79FLPY4,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Light
h8fP6bCi,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
hDBK3Nms,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,Air/Climate
hTFmBbcz,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
hVfwTLei,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
hbscwxpZ,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Light
hdXrhpLn,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Generic/Other
